,yaw_dumbbell,pitch_dumbbell,roll_dumbbell,magnet_forearm_z,magnet_arm_z,magnet_arm_y,magnet_arm_x,accel_arm_z,accel_arm_y,accel_arm_x,gyros_arm_z,gyros_arm_y,gyros_arm_x,total_accel_arm,yaw_arm,pitch_arm,roll_arm,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,magnet_forearm_y,magnet_forearm_x,accel_forearm_z,accel_forearm_y,accel_forearm_x,gyros_forearm_z,gyros_forearm_y,gyros_forearm_x,magnet_belt_z,total_accel_forearm,pitch_forearm,roll_forearm,magnet_dumbbell_z,magnet_dumbbell_y,magnet_dumbbell_x,accel_dumbbell_z,accel_dumbbell_y,accel_dumbbell_x,yaw_forearm,magnet_belt_y,accel_belt_z,total_accel_belt,magnet_belt_x,pitch_belt,num_window,roll_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,yaw_belt,labelA,labelB,labelC,labelD,labelE
2011-12-05 11:23:51.788,-84.90845577666666,-70.4698762,13.01122132,472.66666666666674,514.0,339.3333333333333,-368.33333333333326,-124.66666666666669,109.66666666666669,-289.0,-0.02,-0.013333333333333334,0.013333333333333334,34.0,-161.0,22.5,-128.0,,0.0,-0.02,0.0,657.6666666666666,-17.666666666666668,-214.66666666666663,203.33333333333331,193.33333333333331,-0.013333333333333334,-0.006666666666666667,0.02666666666666667,-309.6666666666667,36.0,-63.9,28.33333333333333,-64.0,295.6666666666667,-558.3333333333334,,46.66666666666666,,-152.66666666666666,602.3333333333334,22.33333333333333,3.0,-4.0,8.07,11.0,1.413333333333333,0.006666666666666667,0.0,-0.02,-21.0,4.333333333333333,-94.40000000000002,1,0,0,0,0
2011-12-05 11:23:52.038,-84.86334149,-70.411177175,13.40495791,471.0,509.0,340.5,-373.0,-123.0,111.0,-289.0,0.01,-0.03,0.01,34.0,-161.0,22.1,-128.0,,0.0,-0.02,-0.01,656.5,-16.5,-214.0,206.0,189.0,-0.01,-0.01,0.02,-306.0,36.0,-63.9,28.05,-64.0,297.5,-553.0,,48.0,,-152.0,602.0,22.5,3.0,-6.0,8.06,12.0,1.48,0.02,0.01,-0.025,-21.5,2.5,-94.4,1,0,0,0,0
2011-12-05 11:23:52.288,-84.80410289857143,-70.54084069714284,13.139879254285715,473.4285714285714,513.5714285714286,339.0,-369.71428571428567,-123.28571428571428,110.42857142857143,-288.7142857142857,-0.005714285714285714,-0.028571428571428574,0.017142857142857144,34.0,-161.0,21.714285714285715,-128.0,,0.0,-0.02,0.0,657.4285714285714,-14.571428571428573,-214.42857142857144,204.28571428571428,192.57142857142856,-0.02,-0.005714285714285713,0.021428571428571432,-313.14285714285717,36.0,-63.828571428571436,27.728571428571428,-67.57142857142857,294.57142857142856,-555.5714285714286,,47.14285714285714,,-152.0,602.0,22.142857142857146,3.0,-2.142857142857143,8.138571428571428,12.0,1.4357142857142855,0.022857142857142857,0.0,-0.017142857142857144,-21.285714285714285,3.0,-94.4,1,0,0,0,0
2011-12-05 11:23:52.538,-84.82103628714286,-70.50227546285714,13.221953218571429,473.1428571428572,511.71428571428567,337.7142857142857,-371.0,-123.0,109.85714285714286,-288.42857142857144,-0.025714285714285717,-0.008571428571428572,0.02,34.0,-161.0,21.314285714285713,-128.71428571428572,,0.005714285714285714,-0.02,-0.011428571428571429,655.5714285714286,-13.857142857142858,-214.7142857142857,203.57142857142856,192.57142857142856,-0.017142857142857144,-0.008571428571428572,0.011428571428571429,-311.42857142857144,36.0,-63.957142857142856,27.1,-66.42857142857143,295.85714285714283,-554.4285714285714,,47.42857142857143,,-151.0,599.1428571428571,21.571428571428577,3.0,-2.8571428571428568,8.145714285714286,12.0,1.4857142857142858,0.005714285714285714,0.002857142857142857,-0.008571428571428572,-21.142857142857142,4.0,-94.4,1,0,0,0,0
2011-12-05 11:23:52.788,-84.76608293,-70.55844635,13.2166296475,473.5,511.5,335.75,-373.25,-123.75,110.25,-289.0,-0.02,-0.02,0.025,34.0,-161.0,20.875,-129.0,,0.0,-0.02,0.0,654.5,-11.75,-214.0,206.25,193.0,-0.015,-0.025,0.022500000000000003,-310.5,36.0,-63.90000000000001,26.925,-68.0,299.0,-555.75,,47.5,,-151.0,605.25,21.0,3.0,-4.25,8.09,12.0,1.58,0.02,0.005,-0.02,-21.0,3.25,-94.375,1,0,0,0,0
2011-12-05 11:23:53.038,-84.82959923333333,-70.55749697833333,12.97802365,471.66666666666674,520.1666666666666,339.1666666666667,-367.66666666666674,-125.33333333333331,109.0,-289.5,-0.0033333333333333327,-0.016666666666666666,-0.006666666666666667,34.0,-161.0,20.683333333333334,-129.0,,0.0,-0.02,-0.013333333333333334,659.1666666666666,-12.666666666666664,-216.33333333333331,204.33333333333331,192.0,-0.016666666666666666,-0.008333333333333333,0.021666666666666667,-314.5,36.0,-63.65,26.85,-65.66666666666667,294.0,-556.1666666666666,,46.66666666666666,,-151.0,601.1666666666666,21.5,3.0,-3.0,8.156666666666666,13.0,1.5116666666666667,0.02666666666666667,0.0033333333333333327,-0.01833333333333333,-20.5,4.0,-94.4,1,0,0,0,0
2011-12-05 11:23:53.288,-84.87807081444444,-70.44550218,13.21875017,470.4444444444445,511.66666666666674,339.22222222222223,-370.77777777777777,-124.22222222222223,110.66666666666669,-289.8888888888889,-0.014444444444444447,-0.02,0.021111111111111112,34.0,-161.22222222222226,20.3,-129.66666666666666,,0.0,-0.02,-0.011111111111111113,653.8888888888888,-14.0,-214.33333333333331,204.44444444444446,192.22222222222226,-0.01333333333333333,-0.006666666666666665,-0.0011111111111111113,-313.0,36.0,-63.82222222222222,26.5,-66.0,293.8888888888889,-556.4444444444445,,47.555555555555564,,-150.33333333333334,601.7777777777778,21.0,3.0,-1.0,8.105555555555554,13.0,1.4122222222222218,0.011111111111111113,0.004444444444444445,-0.02333333333333333,-21.0,3.888888888888889,-94.3222222222222,1,0,0,0,0
2011-12-05 11:23:53.538,-84.75047906100001,-70.59786176200002,13.124911367000001,463.7,508.9,338.2,-369.2,-123.4,109.9,-288.9,-0.015,-0.024,0.002,34.0,-161.8,19.95,-129.8,,-0.004,-0.016,-0.002,654.8,-12.5,-215.3,205.1,192.3,-0.015000000000000003,-0.006,0.025,-314.1,36.0,-63.83,26.24,-66.1,294.8,-557.2,,47.1,,-150.0,600.1,21.0,3.0,-1.8,7.909999999999998,13.0,1.368,0.0009999999999999998,0.01,-0.016,-20.3,3.0,-94.26000000000002,1,0,0,0,0
2011-12-05 11:23:53.788,-85.066981535,-70.19857024000001,13.43042537,467.0,510.0,337.0,-369.5,-126.0,109.5,-289.0,-0.02,-0.02,0.01,34.0,-162.0,19.45,-130.0,,0.0,-0.02,0.0,656.0,-10.5,-215.5,205.0,192.0,-0.04,-0.01,0.01,-313.5,36.0,-63.8,25.2,-70.5,294.0,-554.5,,48.0,,-149.0,600.5,22.0,3.0,-3.0,7.63,13.0,1.295,0.0,0.0,-0.025,-19.0,3.5,-94.15,1,0,0,0,0
2011-12-05 11:23:54.038,-84.2175218475,-70.97141944500002,13.7289312875,472.0,517.0,337.5,-368.0,-123.75,109.75,-287.75,-0.0175,-0.02,0.02,34.0,-162.0,19.125,-130.5,,-0.015,-0.02,-0.01,653.5,-16.0,-215.0,204.5,191.75,-0.037500000000000006,-0.025,-0.005,-303.75,36.0,-63.8,24.925,-63.25,296.25,-555.25,,49.25,,-149.0,597.5,21.5,3.0,-2.25,7.4525,14.0,1.2525,0.0175,0.0,-0.02,-18.75,2.75,-94.125,1,0,0,0,0
